Domain Name,Domain Type,Agency,City,State,Latitude,Longitude
ALLIANCEOH.GOV,City,Non-Federal Agency,Alliance,OH,40.91533856,-81.10592589
ALMONTMICHIGAN.GOV,City,Non-Federal Agency,Almont,MI,42.92057662,-83.04492983
ALSTEADNH.GOV,City,Non-Federal Agency,Alstead,NH,43.14896735,-72.36063693
ALTAVISTAVA.GOV,City,Non-Federal Agency,Altavista,VA,37.11180808,-79.28557643
ALTON-TX.GOV,City,Non-Federal Agency,Alton,TX,26.28728962,-98.31334844
ALTOONAPA.GOV,City,Non-Federal Agency,Altoona,PA,40.51867626,-78.39473648
ALTUSOK.GOV,City,Non-Federal Agency,Altus,OK,34.63812559,-99.33397938
ALVIN-TX.GOV,City,Non-Federal Agency,Alvin,TX,29.42384879,-95.2440988
AMARILLO.GOV,City,Non-Federal Agency,Amarillo,TX,35.22199828,-101.8312983
AMENIANY.GOV,City,Non-Federal Agency,Amenia,NY,41.84925769,-73.55678829
AMERICUSGA.GOV,City,Non-Federal Agency,Americus,GA,32.07238577,-84.23268943
AMERYWI.GOV,City,Non-Federal Agency,Amery,WI,45.30690836,-92.36213604
AMHERSTMA.GOV,City,Non-Federal Agency,Amherst,MA,42.38036806,-72.52313551
AMHERSTNH.GOV,City,Non-Federal Agency,Amherst,NH,42.86146987,-71.62534818
AMHERSTVA.GOV,City,Non-Federal Agency,Amherst,VA,37.58513908,-79.05140821
AMITYARKANSAS.GOV,City,Non-Federal Agency,Amity,AR,34.26481622,-93.46101953
AMSTERDAMNY.GOV,City,Non-Federal Agency,Amsterdam,NY,42.93868751,-74.18818576
ANCHORAGEAK.GOV,City,Non-Federal Agency,Anchorage,AK,61.21805894,-149.9002762
ANDOVER-NH.GOV,City,Non-Federal Agency,Andover,NH,43.43701829,-71.8234071
ANDOVERMA.GOV,City,Non-Federal Agency,Andover,MA,42.65842988,-71.13699752
ANDOVERMN.GOV,City,Non-Federal Agency,Andover,MN,45.2332994,-93.29133959
ANGELFIRENM.GOV,City,Non-Federal Agency,Angel Fire,NM,36.39308686,-105.2850073
ANKENYIOWA.GOV,City,Non-Federal Agency,Ankeny,IA,41.7297078,-93.60576718
ANNATEXAS.GOV,City,Non-Federal Agency,Anna,TX,33.34899898,-96.54859604
ANNETTATX.GOV,City,Non-Federal Agency,Aledo,TX,32.69595843,-97.60224955
ANNISTONAL.GOV,City,Non-Federal Agency,Anniston,AL,33.6598269,-85.83162705
ANTIOCHTOWNSHIPIL.GOV,City,Non-Federal Agency,Lake Villa,IL,42.41696781,-88.07396706
APPLEVALLEYUT.GOV,City,Non-Federal Agency,Apple Valley,UT,40.61772597,-111.7938192
APPOMATTOXVA.GOV,City,Non-Federal Agency,Appomattox,VA,37.35708581,-78.82528977
AQUINNAH-MA.GOV,City,Non-Federal Agency,Aquinnah,MA,41.33344596,-70.79946897
ARANSASPASSTX.GOV,City,Non-Federal Agency,Aransas Pass,TX,27.90946768,-97.14998568
ARCADIA-FL.GOV,City,Non-Federal Agency,Arcadia,FL,27.21587672,-81.85841662
ARCADIACA.GOV,City,Non-Federal Agency,Arcadia,CA,34.13972732,-118.0353369
ARCHBALDBOROUGHPA.GOV,City,Non-Federal Agency,Archbald,PA,41.49479714,-75.53684658
ARCHDALE-NC.GOV,City,Non-Federal Agency,ARCHDALE,NC,35.91457682,-79.97197702
ARKANSASCITYKS.GOV,City,Non-Federal Agency,Arkansas City,KS,37.061966,-97.03836858
ARLINGTON-TX.GOV,City,Non-Federal Agency,Arlington,TX,32.73568991,-97.1080674
ARLINGTONMA.GOV,City,Non-Federal Agency,Arlington,MA,42.41536595,-71.15643579
ARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX,32.73568991,-97.1080674
ARLINGTONWA.GOV,City,Non-Federal Agency,Arlington,WA,48.19870725,-122.1251364
ARTESIANM.GOV,City,Non-Federal Agency,Artesia,NM,32.84232594,-104.403297
ARTHUR-IL.GOV,City,Non-Federal Agency,Arthur,IL,39.7147596,-88.47227622
ASHBURNHAM-MA.GOV,City,Non-Federal Agency,Ashburnham,MA,42.63619736,-71.90784661
ASHBYMA.GOV,City,Non-Federal Agency,Ashby,MA,42.67786816,-71.82034738
ASHEBORONC.GOV,City,Non-Federal Agency,Asheboro,NC,35.70790566,-79.81363607
ASHEVILLENC.GOV,City,Non-Federal Agency,Asheville,NC,35.60094565,-82.55401889
ASHGROVEMO.GOV,City,Non-Federal Agency,Ash Grove,MO,37.31532952,-93.58519951
ASHLANDCITYTN.GOV,City,Non-Federal Agency,Ashland City,TN,36.27421641,-87.06416667
ASHLANDKY.GOV,City,Non-Federal Agency,Ashland,KY,38.47840881,-82.63793645
ASHVILLEOHIO.GOV,City,Non-Federal Agency,Ashville,OH,39.71561902,-82.95295799
ATHENSTX.GOV,City,Non-Federal Agency,Athens,TX,32.20486751,-95.85551805
ATHOL-MA.GOV,City,Non-Federal Agency,Athol,MA,42.59591693,-72.22674681
ATKINSON-NH.GOV,City,Non-Federal Agency,Atkinson,NH,42.83841841,-71.14699563
ATLANTAGA.GOV,City,Non-Federal Agency,Atlanta,GA,33.74899999,-84.38797965
ATLANTISFL.GOV,City,Non-Federal Agency,Atlantis,FL,26.59089568,-80.10087708
ATTICA-IN.GOV,City,Non-Federal Agency,Attica,IN,40.29419568,-87.24889778
AUBREYTX.GOV,City,Non-Federal Agency,Aubrey,TX,33.30427745,-96.98611922
AUBURNMAINE.GOV,City,Non-Federal Agency,Auburn,ME,44.09784765,-70.2311694
AUBURNNY.GOV,City,Non-Federal Agency,Auburn,NY,42.93172663,-76.56604925
AUBURNWA.GOV,City,Non-Federal Agency,Auburn,WA,47.30731835,-122.2284473
AUGUSTAMAINE.GOV,City,Non-Federal Agency,Augusta,ME,44.31061577,-69.77948598
AUGUSTAME.GOV,City,Non-Federal Agency,Augusta,ME,44.31061577,-69.77948598
AURORATEXAS.GOV,City,Non-Federal Agency,Rhome,TX,33.05345621,-97.47196811
AUSTELLGA.GOV,City,Non-Federal Agency,Austell,GA,33.81260634,-84.63437779
AUSTINTEXAS.GOV,City,Non-Federal Agency,Austin,TX,30.26714596,-97.74305555
AUSTINTX.GOV,City,Non-Federal Agency,Austin,TX,30.26714596,-97.74305555
AVONCT.GOV,City,Non-Federal Agency,Avon,CT,41.80981869,-72.83064722
AVONDALEAZ.GOV,City,Non-Federal Agency,Avondale,AZ,33.4355983,-112.3495964
AZTECNM.GOV,City,Non-Federal Agency,Aztec,NM,36.82222728,-107.992849
BAINBRIDGEWA.GOV,City,Non-Federal Agency,Bainbridge Island,WA,47.62620955,-122.5212363
BAKERSFIELD-CA.GOV,City,Non-Federal Agency,Bakersfield,CA,35.37328835,-119.0187066
BALHARBOURFL.GOV,City,Non-Federal Agency,Bal Harbour,FL,25.89175672,-80.12698826
BALTIMORECITY.GOV,City,Non-Federal Agency,Baltimore,MD,39.29037976,-76.61218816
BANGORMAINE.GOV,City,Non-Federal Agency,Bangor,ME,44.80117574,-68.77780736
BARLINGAR.GOV,City,Non-Federal Agency,Barling,AR,35.32564658,-94.30159894
BARRINGTON-IL.GOV,City,Non-Federal Agency,Barrington,IL,42.15390765,-88.13618754
BARRINGTONHILLS-IL.GOV,City,Non-Federal Agency,Barrington Hills,IL,42.14474647,-88.15562582
BASSLAKEWI.GOV,City,Non-Federal Agency,Hayward,WI,46.01300821,-91.48461941
BASTROPTX.GOV,City,Non-Federal Agency,Bastrop,TX,30.11048786,-97.31526951
BATTLECREEK-MI.GOV,City,Non-Federal Agency,Battle Creek,MI,42.32114881,-85.1797069
BATTLECREEKMI.GOV,City,Non-Federal Agency,Battle Creek,MI,42.32114881,-85.1797069
BATTLEFIELDMO.GOV,City,Non-Federal Agency,Battlefield,MO,37.11560574,-93.37018609
BAXTERMN.GOV,City,Non-Federal Agency,Baxter,MN,46.3432969,-94.28666926
BAYCOUNTY-MI.GOV,City,Non-Federal Agency,Bay City,MI,43.59446832,-83.88885694
BAYSIDE-WI.GOV,City,Non-Federal Agency,Bayside,WI,43.18055905,-87.90063795
BAYSTLOUIS-MS.GOV,City,Non-Federal Agency,Bay St. Louis,MS,30.30880776,-89.3300486
BAYVILLENY.GOV,City,Non-Federal Agency,Bayville,NY,40.91064998,-73.56206632
BEACHHAVEN-NJ.GOV,City,Non-Federal Agency,Beach Haven,NJ,39.5592759,-74.24319788
BEAUMONT-CA.GOV,City,Non-Federal Agency,Beaumont,CA,33.92945647,-116.9772467
BEAUMONTTEXAS.GOV,City,Non-Federal Agency,Beaumont,TX,30.08604603,-94.10184816
BEAUXARTS-WA.GOV,City,Non-Federal Agency,Beaux Arts,WA,47.58532618,-122.1983179
BEAVERCREEKOHIO.GOV,City,Non-Federal Agency,Beavercreek,OH,39.70922959,-84.06326597
BEAVERPA.GOV,City,Non-Federal Agency,Beaver,PA,40.69533958,-80.30477649
BEAVERTONOREGON.GOV,City,Non-Federal Agency,Beaverton,OR,45.48705888,-122.8037077
BEAVERTWP-OH.GOV,City,Non-Federal Agency,North Lima,OH,40.94838813,-80.65895806
BECKEMEYERIL.GOV,City,Non-Federal Agency,Beckemeyer,IL,38.60559902,-89.43591971
BEDFORDHEIGHTS.GOV,City,Non-Federal Agency,Bedford Heights,OH,41.41699905,-81.527336
BEDFORDMA.GOV,City,Non-Federal Agency,Bedford,MA,42.49064877,-71.27616567
BEDFORDNY.GOV,City,Non-Federal Agency,Bedford Hills,NY,41.23675854,-73.69457956
BEDFORDOH.GOV,City,Non-Federal Agency,Bedford,OH,41.39310617,-81.53650618
BEDFORDTX.GOV,City,Non-Federal Agency,Bedford,TX,32.84401779,-97.14306979
BEDFORDVA.GOV,City,Non-Federal Agency,Bedford,VA,37.33430884,-79.52308785
BEECAVETEXAS.GOV,City,Non-Federal Agency,Bee Cave,TX,30.30853779,-97.94500663
BELAIREKS.GOV,City,Non-Federal Agency,Bel Aire,KS,39.50505571,-76.31975911
BELEN-NM.GOV,City,Non-Federal Agency,Belen,NM,34.6628374,-106.7764179
BELLAIRETX.GOV,City,Non-Federal Agency,Bellaire,TX,29.70578927,-95.45882875
BELLAVISTAAR.GOV,City,Non-Federal Agency,Bella Vista,AR,36.42951562,-94.23159865
BELLEAIRBLUFFS-FL.GOV,City,Non-Federal Agency,Belleair Bluffs,FL,27.92140962,-82.81704755
BELLEFONTEPA.GOV,City,Non-Federal Agency,Bellefonte,PA,40.91338574,-77.77832718
BELLEMEADE-KY.GOV,City,Non-Federal Agency,Louisville,KY,38.2542387,-85.75940845
BELLERIVEACRESMO.GOV,City,Non-Federal Agency,Normandy,MO,38.72087879,-90.29733677
BELLEVUEIA.GOV,City,Non-Federal Agency,Bellevue,IA,42.25862686,-90.42290712
BELLEVUEWA.GOV,City,Non-Federal Agency,Bellevue,WA,47.61037996,-122.2006757
BELMONT-MA.GOV,City,Non-Federal Agency,Belmont,MA,42.39592768,-71.17866832
BELMONT.GOV,City,Non-Federal Agency,Belmont,CA,37.52020984,-122.2757966
BELOITWI.GOV,City,Non-Federal Agency,Beloit,WI,42.5083457,-89.03177907
BELTONPARKSMO.GOV,City,Non-Federal Agency,Belton,MO,38.81194621,-94.5318975
BELTONTEXAS.GOV,City,Non-Federal Agency,Belton,TX,31.05600696,-97.46444927
BENBROOK-TX.GOV,City,Non-Federal Agency,Benbrook,TX,32.67318595,-97.46057962
BENDOREGON.GOV,City,Non-Federal Agency,Bend,OR,44.05816567,-121.3153073
BENSALEMPA.GOV,City,Non-Federal Agency,Bensalem,PA,40.10454651,-74.95127754
BENSONAZ.GOV,City,Non-Federal Agency,Benson,AZ,31.96785554,-110.2945163
BENTONCHARTERTOWNSHIP-MI.GOV,City,Non-Federal Agency,Benton Harbor,MI,42.11670945,-86.4541873
BENTONIL.GOV,City,Non-Federal Agency,Benton,IL,37.99671755,-88.92006748
BEREAKY.GOV,City,Non-Federal Agency,Berea,KY,37.56868854,-84.29631829
BERKELEYHEIGHTSTWPNJ.GOV,City,Non-Federal Agency,Berkeley Heights,NJ,40.68342914,-74.44264718
BERLINMD.GOV,City,Non-Federal Agency,Berlin,MD,38.32261913,-75.2176899
BERLINNH.GOV,City,Non-Federal Agency,Berlin,NH,44.46866875,-71.18507575
BERNCO.GOV,City,Non-Federal Agency,Albuquerque,NM,35.08448598,-106.6511356
BERRYVILLEVA.GOV,City,Non-Federal Agency,Berryville,VA,39.15176956,-77.98221758
BERTHOLD-ND.GOV,City,Non-Federal Agency,Berthold,ND,48.3130691,-101.7371081
BERWYN-IL.GOV,City,Non-Federal Agency,Berwyn,IL,41.85058957,-87.79366894
BERWYNHEIGHTSMD.GOV,City,Non-Federal Agency,Berwyn Heights,MD,38.99399556,-76.91052968
BETHANYBEACH-DE.GOV,City,Non-Federal Agency,Bethany Beach,DE,38.54026932,-75.05475936
BETHEL-CT.GOV,City,Non-Federal Agency,Bethel,CT,41.37120661,-73.41400696
BETHEL-OH.GOV,City,Non-Federal Agency,Bethel,OH,38.96367725,-84.08076941
BETHLEHEM-PA.GOV,City,Non-Federal Agency,Bethlehem,PA,40.62592874,-75.37045585
BEVERLYHILLS-CA.GOV,City,Non-Federal Agency,Beverly Hills,CA,34.07361918,-118.400358
BEVERLYHILLSCA.GOV,City,Non-Federal Agency,Beverly Hills,CA,34.07361918,-118.400358
BEVERLYMA.GOV,City,Non-Federal Agency,Beverly,MA,42.55842626,-70.88004782
BHTX.GOV,City,Non-Federal Agency,Balcones Heights,TX,29.4880086,-98.55168779
BIGFLATSNY.GOV,City,Non-Federal Agency,Big Flats,NY,42.13729963,-76.93690634
BIGGS-CA.GOV,City,Non-Federal Agency,Biggs,CA,39.41238643,-121.712748
BIGSANDYTX.GOV,City,Non-Federal Agency,Big Sandy,TX,32.58374739,-95.10882731
BINGHAMTON-NY.GOV,City,Non-Federal Agency,Binghamton,NY,42.09868855,-75.91796726
BIRMINGHAMAL.GOV,City,Non-Federal Agency,Birmingham,AL,33.52065875,-86.80248789
BISBEEAZ.GOV,City,Non-Federal Agency,Bisbee,AZ,31.44814716,-109.9284062
BISCAYNEPARKFL.GOV,City,Non-Federal Agency,Biscayne Park,FL,25.79425937,-80.19254745
BISMARCKND.GOV,City,Non-Federal Agency,Bismarck,ND,46.80832613,-100.7837372
BIXBYOK.GOV,City,Non-Federal Agency,Bixby,OK,35.94203788,-95.88331658
BLACKSBURG.GOV,City,Non-Federal Agency,Blacksburg,VA,37.22956713,-80.4139368
BLAINEMN.GOV,City,Non-Federal Agency,Blaine,MN,45.16079733,-93.23494609
BLAIRSVILLE-GA.GOV,City,Non-Federal Agency,Blairsville,GA,34.87619946,-83.95823629
BLANDING-UT.GOV,City,Non-Federal Agency,Blanding,UT,37.62415961,-109.4781762
BLENDONTOWNSHIP-MI.GOV,City,Non-Federal Agency,Hudsonville,MI,42.87085603,-85.86503658
BLISSFIELDMICHIGAN.GOV,City,Non-Federal Agency,Blissfield,MI,41.83254617,-83.86243979
BLOOMINGDALE-GA.GOV,City,Non-Federal Agency,Bloomingdale,GA,32.13241944,-81.29899926
BLOOMINGTON-MN.GOV,City,Non-Federal Agency,Bloomington,MN,44.84079923,-93.29827797
BLOOMINGTONMN.GOV,City,Non-Federal Agency,Bloomington,MN,44.84079923,-93.29827797
BLUEASH-OH.GOV,City,Non-Federal Agency,Blue Ash,OH,39.23199744,-84.37826951
BOCARATON-FL.GOV,City,Non-Federal Agency,Boca Raton,FL,26.35868929,-80.08309916
BOERNE-TX.GOV,City,Non-Federal Agency,BOERNE,TX,29.79465639,-98.7319688
BOISEIDAHO.GOV,City,Non-Federal Agency,Boise,ID,43.61349713,-116.2034459
BOLTON-MA.GOV,City,Non-Federal Agency,Bolton,MA,42.43342735,-71.60783573
BONNEYTEXAS.GOV,City,Non-Federal Agency,Bonney,TX,29.31662781,-95.44799821
BOONEVILLE-MS.GOV,City,Non-Federal Agency,Booneville,MS,34.65814881,-88.56671834
BORGERTX.GOV,City,Non-Federal Agency,Borger,TX,35.66781872,-101.3973883
BOSQUEFARMSNM.GOV,City,Non-Federal Agency,Bosque Farms,NM,34.85477686,-106.7052973
BOSTON.GOV,City,Non-Federal Agency,Boston,MA,42.35842801,-71.05976637
BOTHELLWA.GOV,City,Non-Federal Agency,Bothell,WA,47.76231798,-122.2053958
BOULDER-CO.GOV,City,Non-Federal Agency,Boulder,CO,40.01498646,-105.2705456
BOULDERCOLORADO.GOV,City,Non-Federal Agency,Boulder,CO,40.01498646,-105.2705456
BOUNTIFULUTAH.GOV,City,Non-Federal Agency,Bountiful,UT,40.88938936,-111.8807695
BOURBON-IN.GOV,City,Non-Federal Agency,Bremen,IN,41.44643993,-86.14805697
BOW-NH.GOV,City,Non-Federal Agency,Bow,NH,43.12063787,-71.51145879
BOWERSDE.GOV,City,Non-Federal Agency,"Frederica,",DE, DE,39.00899723
BOWLINGGREEN-MO.GOV,City,Non-Federal Agency,Bowling Green,MO,39.34198568,-91.1951376
BOWLINGGREENKY.GOV,City,Non-Federal Agency,Bowling Green,KY,36.99031886,-86.44359974
BOWMAR.GOV,City,Non-Federal Agency,Bow Mar,CO,39.62831777,-105.0499796
BOXBOROUGH-MA.GOV,City,Non-Federal Agency,Boxborough,MA,42.48342691,-71.51617887
BOYLSTON-MA.GOV,City,Non-Federal Agency,Boylston,MA,42.39175655,-71.70367723
BRADLEYBEACHNJ.GOV,City,Non-Federal Agency,Bradley Beach,NJ,40.20233633,-74.01207589
BRANFORD-CT.GOV,City,Non-Federal Agency,Branford,CT,41.27953624,-72.8150966
BRANSONMO.GOV,City,Non-Federal Agency,Branson,MO,36.64366962,-93.21850905
BRAWLEY-CA.GOV,City,Non-Federal Agency,Brawley,CA,32.97865935,-115.5302697
BRECKENRIDGETX.GOV,City,Non-Federal Agency,Breckenridge,TX,32.75567713,-98.90228768
BREMENGA.GOV,City,Non-Federal Agency,Bremen,GA,33.72121945,-85.14549643
BREMERTONWA.GOV,City,Non-Federal Agency,Bremerton,WA,47.56731878,-122.6326374
BRENTWOOD-TN.GOV,City,Non-Federal Agency,Brentwood,TN,36.0331188,-86.78277964
BRENTWOODCA.GOV,City,Non-Federal Agency,Brentwood,CA,37.92686575,-121.7257699
BRENTWOODMD.GOV,City,Non-Federal Agency,Brentwood,MD,38.94316807,-76.95663709
BRENTWOODNH.GOV,City,Non-Federal Agency,Brentwood,NH,42.97869796,-71.07283771
BRENTWOODTN.GOV,City,Non-Federal Agency,Brentwood,TN,36.0331188,-86.78277964
BREWSTER-MA.GOV,City,Non-Federal Agency,Brewster,MA,41.7601071,-70.08279956
BREWSTERVILLAGE-NY.GOV,City,Non-Federal Agency,Brewster,NY,41.39731779,-73.61706944
BRICKTOWNSHIP-NJ.GOV,City,Non-Federal Agency,Brick,NJ,40.1294878,-74.73570617
BRIDGEPORTCT.GOV,City,Non-Federal Agency,Bridgeport,CT,41.16703723,-73.20482952
BRIDGEPORTWV.GOV,City,Non-Federal Agency,Bridgeport,WV,39.2864786,-80.2561988
BRIDGEVIEW-IL.GOV,City,Non-Federal Agency,Bridgeview,IL,41.75002799,-87.804216
BRIDGEWATERNJ.GOV,City,Non-Federal Agency,Bridgewater,NJ,40.60078947,-74.64814844
BRIGHTONCO.GOV,City,Non-Federal Agency,Brighton,CO,39.9852576,-104.820527
BRIMFIELDOHIO.GOV,City,Non-Federal Agency,Kent,OH,41.15366891,-81.35788554
BRISTOLCT.GOV,City,Non-Federal Agency,Bristol,CT,41.67175744,-72.9492657
BRLA.GOV,City,Non-Federal Agency,Baton Rouge,LA,30.45074767,-91.1545467
BROADVIEW-IL.GOV,City,Non-Federal Agency,Broadview,IL,41.86391739,-87.85338764
BROKENARROWOK.GOV,City,Non-Federal Agency,Broken Arrow,OK,36.05259757,-95.79081829
BROOKFIELD-WI.GOV,City,Non-Federal Agency,Brookfield,WI,43.0605682,-88.10647668
BROOKFIELDCT.GOV,City,Non-Federal Agency,Brookfield,CT,41.48258973,-73.40956585
BROOKFIELDIL.GOV,City,Non-Federal Agency,Brookfield ,IL,41.82391594,-87.85172729
BROOKHAVENGA.GOV,City,Non-Federal Agency,Dunwoody,GA,33.94620849,-84.33464588
BROOKHAVENNY.GOV,City,Non-Federal Agency,Farmingville,NY,40.83120953,-73.02954757
BROOKLINEMA.GOV,City,Non-Federal Agency,Brookline,MA,42.33175887,-71.12115892
BROOKLYNOHIO.GOV,City,Non-Federal Agency,Brooklyn,OH,41.43976703,-81.73540653
BROOKLYNWI.GOV,City,Non-Federal Agency,Brooklyn,WI,42.85360906,-89.37039652
BROWNSVILLETN.GOV,City,Non-Federal Agency,Brownsville,TN,35.59396677,-89.26228912
BROWNWOODTEXAS.GOV,City,Non-Federal Agency,Brownwood,TX,31.70931748,-98.9911593
BRYANTX.GOV,City,Non-Federal Agency,Bryan,TX,30.67435982,-96.3699574
BRYCECANYONCITYUT.GOV,City,Non-Federal Agency,Bryce Canyon City,UT,37.6738892,-112.156937
BRYSONCITYNC.GOV,City,Non-Federal Agency,Bryson City,NC,35.43092824,-83.44737862
BUCHANAN-VA.GOV,City,Non-Federal Agency,BUCHANAN,VA,37.5273597,-79.67975945
BUCKEYEAZ.GOV,City,Non-Federal Agency,Buckeye,AZ,33.37031809,-112.5837781
BUCKSPORTMAINE.GOV,City,Non-Federal Agency,Bucksport,ME,44.57368943,-68.79558979
BUENAVISTACO.GOV,City,Non-Federal Agency,Buena Vista,CO,38.84221953,-106.1311257
BULLHEADCITYAZ.GOV,City,Non-Federal Agency,Bullhead City,AZ,35.14777736,-114.5682955
BULVERDETX.GOV,City,Non-Federal Agency,Bulverde,TX,29.7438289,-98.45306555
BUNKERHILLTX.GOV,City,Non-Federal Agency,HOUSTON,TX,29.76327617,-95.36326623
BURBANKCA.GOV,City,Non-Federal Agency,Burbank,CA,34.18083567,-118.3089666
BURBANKIL.GOV,City,Non-Federal Agency,Burbank,IL,41.73391942,-87.7794997
BURIENWA.GOV,City,Non-Federal Agency,Burien,WA,47.47037938,-122.3467868
BURKITTSVILLE-MD.GOV,City,Non-Federal Agency,Burkittsville,MD,39.39370859,-77.62887744
BURLINGTON-WI.GOV,City,Non-Federal Agency,Burlington,WI,42.67806614,-88.27619712
BURLINGTONKANSAS.GOV,City,Non-Federal Agency,Burlington,KS,38.19446601,-95.74275805
BURLINGTONNC.GOV,City,Non-Federal Agency,Burlington,NC,36.09568575,-79.43779792
BURLINGTONND.GOV,City,Non-Federal Agency,Burlington,ND,48.27528596,-101.4287775
BURLINGTONVT.GOV,City,Non-Federal Agency,Burlington,VT,44.47587711,-73.21206938
BURLINGTONWA.GOV,City,Non-Federal Agency,Burlington,WA,48.47565768,-122.3254362
BURNSHARBOR-IN.GOV,City,Non-Federal Agency,Burns Harbor,IN,41.62586601,-87.13336603
BURNSVILLEMN.GOV,City,Non-Federal Agency,Burnsville,MN,44.76773921,-93.27771929
BURR-RIDGE.GOV,City,Non-Federal Agency,Burr Ridge,IL,41.74891659,-87.91838887
BURRILLVILLE-RI.GOV,City,Non-Federal Agency,Harrisville,RI,41.96564886,-71.67450632
BURTONMI.GOV,City,Non-Federal Agency,Burton,MI,42.99946812,-83.61633863
BUTLERWI.GOV,City,Non-Federal Agency,Butler,WI,43.10583868,-88.06952596
BYESVILLEOH.GOV,City,Non-Federal Agency,Byesville,OH,39.96978797,-81.53650618
CABOTAR.GOV,City,Non-Federal Agency,Cabot,AR,34.97452924,-92.01652621
CABQ.GOV,City,Non-Federal Agency,Albuquerque,NM,35.08448598,-106.6511356
CALAISVERMONT.GOV,City,Non-Federal Agency,East Calais,VT,44.36644682,-72.42982729
CALDWELLTX.GOV,City,Non-Federal Agency,Caldwell,TX,30.53131752,-96.69302873
CALEDONIAMN.GOV,City,Non-Federal Agency,Caledonia,MN,43.63468575,-91.49680883
CALIFORNIACITY-CA.GOV,City,Non-Federal Agency,California City,CA,35.12579681,-117.9858997
CALUMETTWP-IN.GOV,City,Non-Federal Agency,Gary,IN,41.5933699,-87.34642662
CAMBRIDGEMA.GOV,City,Non-Federal Agency,Cambridge,MA,42.37509903,-71.1056083
CAMBRIDGENY.GOV,City,Non-Federal Agency,Cambridge,NY,43.02812608,-73.38121837
CAMDENMAINE.GOV,City,Non-Federal Agency,Camden,ME,44.20979772,-69.0647559
CAMDENTN.GOV,City,Non-Federal Agency,Camden,TN,36.05894651,-88.09781945
